time,SSID,RSSI,BSSID
12:27:26,'AAU', '-55', '6C:31:0E:F3:55:E6'
12:27:26,'AAU', '-71', '6C:31:0E:BA:0A:A6'
12:27:26,'AAU', '-76', '3C:51:0E:13:FD:86'
12:27:33,'AAU', '-55', '6C:31:0E:F3:55:E6'
12:27:33,'AAU', '-76', '3C:51:0E:13:FD:86'
12:27:33,'AAU', '-80', '6C:31:0E:BA:0A:A6'
12:27:40,'AAU', '-57', '6C:31:0E:F3:55:E6'
12:27:40,'AAU', '-76', '6C:31:0E:BA:0A:A6'
12:27:40,'AAU', '-77', '3C:51:0E:13:FD:86'
12:27:46,'AAU', '-54', '6C:31:0E:F3:55:E6'
12:27:46,'AAU', '-74', '6C:31:0E:BA:0A:A6'
12:27:46,'AAU', '-78', '3C:51:0E:13:FD:86'
12:27:53,'AAU', '-55', '6C:31:0E:F3:55:E6'
12:27:53,'AAU', '-73', '6C:31:0E:BA:0A:A6'
12:27:53,'AAU', '-78', '3C:51:0E:13:FD:86'
12:28:00,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:00,'AAU', '-73', '6C:31:0E:BA:0A:A6'
12:28:00,'AAU', '-78', '3C:51:0E:13:FD:86'
12:28:07,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:07,'AAU', '-73', '6C:31:0E:BA:0A:A6'
12:28:07,'AAU', '-77', '3C:51:0E:13:FD:86'
12:28:14,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:14,'AAU', '-74', '6C:31:0E:BA:0A:A6'
12:28:14,'AAU', '-78', '3C:51:0E:13:FD:86'
12:28:20,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:20,'AAU', '-71', '6C:31:0E:BA:0A:A6'
12:28:20,'AAU', '-75', '3C:51:0E:13:FD:86'
12:28:27,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:27,'AAU', '-73', '6C:31:0E:BA:0A:A6'
12:28:27,'AAU', '-78', '3C:51:0E:13:FD:86'
12:28:34,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:34,'AAU', '-72', '6C:31:0E:BA:0A:A6'
12:28:34,'AAU', '-77', '3C:51:0E:13:FD:86'
12:28:41,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:41,'AAU', '-74', '6C:31:0E:BA:0A:A6'
12:28:41,'AAU', '-76', '3C:51:0E:13:FD:86'
12:28:48,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:48,'AAU', '-74', '6C:31:0E:BA:0A:A6'
12:28:48,'AAU', '-76', '3C:51:0E:13:FD:86'
12:28:55,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:28:55,'AAU', '-75', '6C:31:0E:BA:0A:A6'
12:28:55,'AAU', '-76', '3C:51:0E:13:FD:86'
