time,SSID,RSSI,BSSID
12:21:31,'AAU', '-62', '3C:51:0E:13:FD:86'
12:21:31,'AAU', '-63', '6C:31:0E:BA:0A:A6'
12:21:31,'AAU', '-64', '6C:31:0E:F3:55:E6'
12:21:31,'AAU', '-81', '6C:31:0E:E1:0F:66'
12:21:37,'AAU', '-61', '6C:31:0E:F3:55:E6'
12:21:37,'AAU', '-61', '3C:51:0E:13:FD:86'
12:21:37,'AAU', '-65', '6C:31:0E:BA:0A:A6'
12:21:37,'AAU', '-77', '6C:31:0E:E1:0F:66'
12:21:44,'AAU', '-58', '3C:51:0E:13:FD:86'
12:21:44,'AAU', '-59', '6C:31:0E:BA:0A:A6'
12:21:44,'AAU', '-64', '6C:31:0E:F3:55:E6'
12:21:44,'AAU', '-76', '6C:31:0E:E1:0F:66'
12:21:51,'AAU', '-58', '6C:31:0E:BA:0A:A6'
12:21:51,'AAU', '-62', '3C:51:0E:13:FD:86'
12:21:51,'AAU', '-64', '6C:31:0E:F3:55:E6'
12:21:51,'AAU', '-79', '6C:31:0E:E1:0F:66'
12:21:51,'AAU', '-88', '6C:31:0E:BA:11:86'
12:21:58,'AAU', '-62', '6C:31:0E:BA:0A:A6'
12:21:58,'AAU', '-63', '3C:51:0E:13:FD:86'
12:21:58,'AAU', '-65', '6C:31:0E:F3:55:E6'
12:21:58,'AAU', '-80', '6C:31:0E:E1:0F:66'
12:21:58,'AAU', '-86', '6C:31:0E:BA:11:86'
12:22:05,'AAU', '-60', '3C:51:0E:13:FD:86'
12:22:05,'AAU', '-64', '6C:31:0E:F3:55:E6'
12:22:05,'AAU', '-65', '6C:31:0E:BA:0A:A6'
12:22:05,'AAU', '-81', '6C:31:0E:E1:0F:66'
12:22:12,'AAU', '-58', '6C:31:0E:BA:0A:A6'
12:22:12,'AAU', '-60', '3C:51:0E:13:FD:86'
12:22:12,'AAU', '-61', '6C:31:0E:F3:55:E6'
12:22:19,'AAU', '-61', '6C:31:0E:BA:0A:A6'
12:22:19,'AAU', '-64', '6C:31:0E:F3:55:E6'
12:22:19,'AAU', '-64', '3C:51:0E:13:FD:86'
12:22:19,'AAU', '-79', '6C:31:0E:E1:0F:66'
12:22:25,'AAU', '-59', '6C:31:0E:F3:55:E6'
12:22:25,'AAU', '-60', '6C:31:0E:BA:0A:A6'
12:22:25,'AAU', '-61', '3C:51:0E:13:FD:86'
12:22:25,'AAU', '-80', '6C:31:0E:E1:0F:66'
12:22:32,'AAU', '-62', '6C:31:0E:BA:0A:A6'
12:22:32,'AAU', '-62', '3C:51:0E:13:FD:86'
12:22:32,'AAU', '-66', '6C:31:0E:F3:55:E6'
12:22:39,'AAU', '-61', '6C:31:0E:BA:0A:A6'
12:22:39,'AAU', '-62', '3C:51:0E:13:FD:86'
12:22:39,'AAU', '-64', '6C:31:0E:F3:55:E6'
12:22:39,'AAU', '-81', '6C:31:0E:E1:0F:66'
12:22:46,'AAU', '-62', '6C:31:0E:F3:55:E6'
12:22:46,'AAU', '-62', '6C:31:0E:BA:0A:A6'
12:22:46,'AAU', '-63', '3C:51:0E:13:FD:86'
12:22:46,'AAU', '-81', '6C:31:0E:E1:0F:66'
12:22:53,'AAU', '-59', '3C:51:0E:13:FD:86'
12:22:53,'AAU', '-61', '6C:31:0E:F3:55:E6'
12:22:53,'AAU', '-64', '6C:31:0E:BA:0A:A6'
12:22:53,'AAU', '-79', '6C:31:0E:E1:0F:66'
12:22:59,'AAU', '-60', '3C:51:0E:13:FD:86'
12:22:59,'AAU', '-61', '6C:31:0E:BA:0A:A6'
12:22:59,'AAU', '-65', '6C:31:0E:F3:55:E6'
12:22:59,'AAU', '-81', '6C:31:0E:E1:0F:66'
